Epoch,Error
0.0,9.89998228075591
1.0,8.82109920794451
2.0,8.50083306718043
3.0,8.269482109095824
4.0,8.067646783134968
5.0,7.873045841226559
6.0,7.667472495870474
7.0,7.43140711961716
8.0,7.172206359640876
9.0,6.910062088578682
10.0,6.657013763128639
11.0,6.419341826266075
12.0,6.199165359752876
13.0,5.995579771160273
14.0,5.80440601207374
15.0,5.624222481024098
16.0,5.453577857031969
17.0,5.305864045387245
18.0,5.161103679929215
19.0,5.0204658865995695
20.0,4.883184892106607
21.0,4.758053456430859
22.0,4.65037202828636
23.0,4.555469487584582
24.0,4.463994718316965
25.0,4.389194636594711
26.0,4.313312641562464
27.0,4.247192648701063
28.0,4.157968867999406
29.0,4.06452533668767
30.0,3.9593123264697336
31.0,3.841583474665816
32.0,3.7050083456057608
33.0,3.5462707582113078
34.0,3.4104448464564543
35.0,3.268566886879261
36.0,3.1718073671158016
37.0,3.0926308474768707
38.0,3.0226015960932306
39.0,2.9683253053636056
40.0,2.91717756764534
41.0,2.8365152375361102
42.0,2.8081994910655586
43.0,2.7160808766353224
44.0,2.6465586966794588
45.0,2.6651711980702304
46.0,2.560709733292101
47.0,2.5248829745457138
48.0,2.488166159486453
49.0,2.39944098408006
50.0,2.3125441132616555
51.0,2.412784378828526
52.0,2.307590064068349
53.0,2.4623447492660335
54.0,2.202836046665926
55.0,2.206511691507897
56.0,2.1322256914413145
57.0,1.9668038984809122
58.0,1.8906714382713508
59.0,1.8346333510602202
60.0,1.7611037770147768
61.0,1.6995734319298377
62.0,1.6754286520352675
63.0,1.6455131645039502
64.0,1.6300301388080105
65.0,1.5817177216481884
66.0,1.5587567741302673
67.0,1.5392059010490518
68.0,1.5306399148640482
69.0,1.5057998723962713
70.0,1.503728192843769
71.0,1.4939344199896323
72.0,1.484648977206103
73.0,1.4839892800038845
74.0,1.4754431840957691
75.0,1.5867316497963746
76.0,1.6312836076786785
77.0,1.5747822900954878
78.0,1.5584374491629356
79.0,1.4829313545351501
80.0,1.5997696317387635
81.0,1.565572091281255
82.0,1.548312930820871
83.0,1.497208587352612
84.0,1.5027103207008186
85.0,1.4622715406359397
86.0,1.4394055130805756
87.0,1.4350067992924471
88.0,1.4165181453632805
89.0,1.4497481098924063
90.0,1.535364473367825
