,0
0,-1.3783513900012372
1,1.3556623797015064
2,4.048636968529397
3,1.1278439252227341
4,-0.01716227405547661
5,3.750502731667418
6,1.480811974138867
7,1.6498238789235704
8,-1.3763310513756237
9,-0.018315211518192556
